commit	denoising_s	memory_gb	latent_rmse	status	description
d8d49e4	38.10	60.8	0.000000	keep	baseline
f60535b	33.83	60.8	~0.000	keep	torch.compile both models (default mode) with warmup
c1a7b21	38.83	60.8	N/A	discard	torch.compile reduce-overhead (CUDA graphs — slower)
142ba49	38.72	60.8	N/A	discard	torch.compile max-autotune (slower than default)
fb4d542	28.84	54.0	0.364971	discard_rmse	FP8 block linears — RMSE 0.365 too high (>0.15)
68d8cab	24.05	54.0	~0.450	discard_rmse	FA3 fp8 attention — RMSE even higher
7fb7ccb	23.86	54.0	0.449869	discard_rmse	FA4 fp16 cross-attn — RMSE 0.45 too high
6f6d2b6	23.29	53.9	0.454751	discard_rmse	use_fast_accum=True — slightly worse RMSE
4f5d8ce	23.44	54.5	0.461142	discard	QKV fusion — slower AND bad RMSE
19a24b4	23.23	54.0	0.446846	discard_rmse	FA3 fp16 cross-attn — RMSE 0.45 still too high
(reset)	-	-	-	meta	Reset branch to f60535b (torch.compile baseline 33.83s ~0 RMSE)
40ba698	33.09	60.8	0.043530	keep	FA3 fp16 for all attention: 0.74s faster, RMSE 0.044 (within limit)
(reset)	30.50	50.2	0.206823	discard_rmse	FFN fc_in+fc_out FP8 per-tensor (80 GEMMs): 2.59s faster but RMSE 0.207 > 0.15
1e0a203	59.75	54.3	0.449139	discard	INT8 W8A8 FFN: torch._int_mm not on tensor cores (44ms vs 5ms for FP8)
b78776f	32.01	55.5	0.241772	discard_rmse	FP8 fc_out only: post-GELU more variable than Gaussian fc_in, RMSE 0.242 > 0.15
6fcc371	31.77	55.5	0.204417	discard_rmse	FP8 high-noise FFN only (4 steps): RMSE 0.204 — high-noise dominates error
0006cd1	31.87	55.5	0.074920	keep	FP8 low-noise FFN only (4 steps): RMSE 0.075, 1.22s faster
964f6a0	31.05	54.0	0.087443	keep	FP8 low-noise FFN+attn projections: RMSE 0.087, 0.82s further faster
b685db7	30.63	54.0	0.092510	keep	High-noise last 10/40 FFN blocks FP8: only +0.005 RMSE, 0.42s faster
7fb728e	30.40	54.0	0.112842	keep	High-noise last 20/40 FFN blocks FP8: RMSE 0.113, 0.23s faster
898b266	30.07	54.0	0.173312	discard_rmse	High-noise last 30/40 FFN blocks FP8: RMSE 0.173 > 0.15
6918069	30.25	54.0	0.136248	keep	High-noise last 25/40 FFN blocks FP8: RMSE 0.136, 0.15s faster
dfd5a59	29.92	54.0	0.165541	discard_rmse	High-noise last 10/40 attn proj FP8 (per-tensor): RMSE 0.166 > 0.15
4b4419d	-	-	crash	crash	Rowwise FP8 first attempt: scale_b shape error (crash)
e82e24d	-	-	crash	crash	Rowwise FP8 fix1: scale_a 2D but scale_b must be (1,N) (crash)
62c7b7a	30.04	54.0	0.133725	keep	Rowwise FP8 high-noise attn last 10 blocks: ~0 RMSE change, 0.21s faster
